Calabar	CBQ	DNCA	4.976019	8.347197
Enugu	ENU	DNEN	6.474272	7.561961
Gusau	QUS	DNGU	12.171667	6.696111
Ibadan	IBA	DNIB	7.362458	3.978333
Ilorin	ILR	DNIL	8.440211	4.493919
Yakubu Gowon	JOS	DNJO	9.639828	8.86905
Kaduna	KAD	DNKA	10.696025	7.320114
Mallam Aminu Intl	KAN	DNKN	12.047589	8.524622
Maiduguri	MIU	DNMA	11.855347	13.08095
Makurdi	MDI	DNMK	7.703883	8.613939
Murtala Muhammed	LOS	DNMM	6.577369	3.321156
Minna New	MXJ	DNMN	9.652172	6.462256
Port Harcourt Intl	PHC	DNPO	5.015494	6.949594
Sadiq Abubakar Iii Intl	SKO	DNSO	12.916322	5.207189
Yola	YOL	DNYO	9.257553	12.430422
Zaria	ZAR	DNZA	11.130192	7.685806
Maradi	MFQ	DRRM	13.502531	7.126753
Diori Hamani	NIM	DRRN	13.481547	2.183614
Tahoua	THZ	DRRT	14.875658	5.265358
Manu Dayak	AJY	DRZA	16.965997	8.000114
Dirkou	RZD	DRZD	18.968703	12.86865
Diffa	RZF	DRZF	13.372894	12.626686
Zinder	ZND	DRZR	13.778997	8.983761
Habib Bourguiba Intl	MIR	DTMB	35.758056	10.754722
Carthage	TUN	DTTA	36.851033	10.227217
Sidi Ahmed Air Base	TTB	DTTB	37.245447	9.791453
Remada	TTD	DTTD	32.306156	10.382108
Gafsa	GAF	DTTF	34.422022	8.822503
Gabes	GAE	DTTG	33.876919	10.103333
Borj El Amri	TTI	DTTI	36.721339	9.943147
Zarzis	DJE	DTTJ	33.875031	10.775461
El Borma	EBM	DTTR	31.704281	9.254619
Thyna	SFA	DTTX	34.717953	10.690972
Nefta	TOE	DTTZ	33.939722	8.110556
Niamtougou International	LRL	DXNG	9.767333	1.09125
Gnassingbe Eyadema Intl	LFW	DXXX	6.165611	1.254511
Deurne	ANR	EBAW	51.189444	4.460278
Beauvechain	BBE	EBBE	50.75861	4.768333
Kleine Brogel	BBL	EBBL	51.168333	5.47
Brussels Natl	BRU	EBBR	50.901389	4.484444
Bertrix	BBX	EBBX	49.891667	5.223889
Brussels South	CRL	EBCI	50.459197	4.453817
Chievres Ab	BCV	EBCV	50.575833	3.831
Koksijde	BFN	EBFN	51.090278	2.652778
Florennes	BFS	EBFS	50.243333	4.645833
Wevelgem	QKT	EBKT	50.817222	3.204722
Liege	LGG	EBLG	50.637417	5.443222
Oostende	OST	EBOS	51.198889	2.862222
Zutendaal	BSL	EBSL	50.9475	5.590556
Sint Truiden	BST	EBST	50.791944	5.201667
Saint Hubert Mil	BSU	EBSU	50.035833	5.404167
Ursel	BUL	EBUL	51.144133	3.474361
Weelde	BWE	EBWE	51.394783	4.960194
Zoersel	BZR	EBZR	51.264722	4.753333
Bautzen	BBJ	EDAB	51.193531	14.519747
Altenburg Nobitz	AOC	EDAC	50.981817	12.506361
Dessau	DAD	EDAD	51.831828	12.184033
Eisenhuttenstadt	DAE	EDAE	52.197333	14.585667
Grossenhain	DAK	EDAK	51.308111	13.554973
Merseburg	DAM	EDAM	51.363	11.940833
Halle Oppin	DAQ	EDAQ	51.552	12.052667
Riesa Gohlis	DAU	EDAU	51.2935	13.356
Rechlin Larz	DAX	EDAX	53.306417	12.753139
Strausberg	DBB	EDAY	52.579978	13.915683
Schonhagen	DAZ	EDAZ	52.203258	13.158408
Barth	BBH	EDBH	54.33754	12.699705
Jena Schongleina	DBJ	EDBJ	50.915161	11.714519
Kyritz	DBK	EDBK	52.918833	12.425333
Magdeburg	DBM	EDBM	52.073658	11.626467
Rothenburg Gorlitz	DBR	EDBR	51.363167	14.95
Anklam	DCB	EDCA	53.8327	13.669131
Cottbus Drewitz	DCD	EDCD	51.889475	14.531986
Kamenz	DCM	EDCM	51.29625	14.129
Schonefeld	SXF	EDDB	52.380001	13.5225
Dresden	DRS	EDDC	51.132767	13.767161
Erfurt	ERF	EDDE	50.979811	10.958106
Frankfurt Main	FRA	EDDF	50.026421	8.543125
Munster Osnabruck	FMO	EDDG	52.134642	7.684831
Hamburg	HAM	EDDH	53.630389	9.988228
Tempelhof	THF	EDDI	52.473025	13.403944
Koln Bonn	CGN	EDDK	50.865917	7.142744
Dusseldorf	DUS	EDDL	51.289453	6.766775
Franz Josef Strauss	MUC	EDDM	48.353783	11.786086
Nurnberg	NUE	EDDN	49.4987	11.066897
Leipzig Halle	LEJ	EDDP	51.432447	12.241633
Saarbrucken	SCN	EDDR	49.214553	7.109508
Stuttgart	STR	EDDS	48.689878	9.221964
Tegel	TXL	EDDT	52.559686	13.287711
Hannover	HAJ	EDDV	52.461056	9.685078
Neuenland	BRE	EDDW	53.0475	8.786667
Egelsbach	DFE	EDFE	49.960833	8.6415
Frankfurt Hahn	HHN	EDFH	49.948672	7.263892
Mannheim City	MHG	EDFM	49.472706	8.514264
Allendorf Eder	DFQ	EDFQ	51.034878	8.680839
Worms	DFV	EDFV	49.606511	8.3684
Mainz Finthen	DFZ	EDFZ	49.968931	8.148336
Eisenach Kindel	DGE	EDGE	50.992797	10.472711
Siegerland	DGS	EDGS	50.707658	8.082969
Hamburg Finkenwerder	XFW	EDHI	53.535886	9.837025
Kiel Holtenau	KEL	EDHK	54.3795	10.145167
Lubeck Blankensee	LBC	EDHL	53.805367	10.719222
Dahlemer Binz	DKV	EDKV	50.405888	6.528083
Meinerzhagen	DKZ	EDKZ	51.099445	7.601944
Arnsberg Menden	ZCA	EDLA	51.483333	7.899333
Essen Mulheim	ESS	EDLE	51.402333	6.937333
Bielefeld	DLI	EDLI	51.964833	8.544833
Monchengladbach	MGL	EDLN	51.230356	6.504494
Paderborn Lippstadt	PAD	EDLP	51.614089	8.616317
Stadtlohn Vreden	DLS	EDLS	51.995844	6.840667
Dortmund	DTM	EDLW	51.518314	7.612242
Augsburg	AGB	EDMA	48.425158	10.931764
Biberach An Der Riss	DMB	EDMB	48.111	9.762833
Eggenfelden	DME	EDME	48.396167	12.723667
Mindelheim Mattsies	DMN	EDMN	48.108833	10.524333
Oberpfaffenhofen	OBF	EDMO	48.081364	11.283067
Straubing	DMS	EDMS	48.90095	12.518186
Vilshofen	DMV	EDMV	48.635167	13.195667
Leutkirch Unterzeil	DNL	EDNL	47.859117	10.014572
Friedrichshafen	FDH	EDNY	47.671317	9.511486
Schwerin Parchim	SZW	EDOP	53.426997	11.783436
Stendal Borstel	ZSN	EDOV	52.627778	11.818333
Aalen Heidenheim Elchingen	DPA	EDPA	48.777833	10.264667
Bayreuth	BYU	EDQD	49.984428	11.638569
Burg Feuerstein	DQE	EDQE	49.793833	11.133167
Hof Plauen	HOQ	EDQM	50.288836	11.854919
Hassfurt Schweinfurt	DQT	EDQT	50.018	10.5295
Koblenz Winningen	ZNV	EDRK	50.3255	7.528667
Trier Fohren	ZQF	EDRT	49.8635	6.788167
Speyer	ZQC	EDRY	49.302776	8.451195
Zweibrucken	DRZ	EDRZ	49.209525	7.400647
Donaueschingen Villingen	ZQL	EDTD	47.973331	8.522223
Freiburg	DTF	EDTF	48.022653	7.832583
Mengen Hohentengen	DTM	EDTM	48.053833	9.372833
Schwabisch Hall	DTY	EDTY	49.118317	9.783956
Finsterwalde Schacksdorf	DUS	EDUS	51.6075	13.738
Braunschweig Wolfsburg	BWE	EDVE	52.319167	10.556111
Kassel Calden	KSF	EDVK	51.408394	9.377631
Hildesheim	DVM	EDVM	52.179833	9.945667
Bremerhaven	BRV	EDWB	53.507081	8.572878
Emden	EME	EDWE	53.391186	7.227408
Leer Papenburg	DWF	EDWF	53.271592	7.442344
Wilhelmshaven Mariensiel	WVN	EDWI	53.504833	8.053333
Borkum	BMK	EDWR	53.5955	6.709167
Norderney	NRD	EDWY	53.706822	7.230247
Flensburg Schaferhaus	FLF	EDXF	54.771772	9.378214
Rendsburg Schachtholm	DXR	EDXR	54.220928	9.600803
Westerland Sylt	GWT	EDXW	54.91325	8.340472
Amari	EEI	EEEI	59.260286	24.208467
Kardla	KDL	EEKA	58.990756	22.830733
Kuressaare	URE	EEKE	58.229883	22.509494
Parnu	EPU	EEPU	58.419044	24.472819
Tallinn	TLL	EETN	59.413317	24.832844
Tartu	TAY	EETU	58.307461	26.690428
Enontekio	ENF	EFET	68.362586	23.424322
Eura	FEU	EFEU	61.116112	22.201389
Halli	KEV	EFHA	61.85605	24.7866
Helsinki Malmi	HEM	EFHF	60.254558	25.042828
Helsinki Vantaa	HEL	EFHK	60.317222	24.963333
Hameenkyro	FHM	EFHM	61.689656	23.073744
Hanko	FHN	EFHN	59.848864	23.083583
Hyvinkaa	FHV	EFHV	60.654444	24.881111
Kiikala	FIK	EFIK	60.462502	23.6525
Immola	FIM	EFIM	61.249172	28.903711
Kitee	FIT	EFIT	62.166111	30.073611
Ivalo	IVL	EFIV	68.607269	27.405328
Joensuu	JOE	EFJO	62.662906	29.60755
Jyvaskyla	JYV	EFJY	62.399453	25.678253
Kauhava	KAU	EFKA	63.127078	23.051442
Kemi Tornio	KEM	EFKE	65.781889	24.5991
Kajaani	KAJ	EFKI	64.285472	27.692414
Kauhajoki	FKJ	EFKJ	62.462502	22.393055
Kruunupyy	KOK	EFKK	63.721172	23.143131
Kemijarvi	FKM	EFKM	66.712883	27.156786
Kuusamo	KAO	EFKS	65.987575	29.239381
Kittila	KTT	EFKT	67.701022	24.84685
Kuopio	KUO	EFKU	63.00715	27.797756
Lahti Vesivehmaa	FLA	EFLA	61.144158	25.693508
Lappeenranta	LPP	EFLP	61.044553	28.144397
Mariehamn	MHQ	EFMA	60.122203	19.898156
Menkijarvi	FME	EFME	62.946667	23.518889
Mikkeli	MIK	EFMI	61.6866	27.201794
Nummela	FNU	EFNU	60.333889	24.296389
Oulu	OUL	EFOU	64.930061	25.354564
Piikajarvi	FPI	EFPI	61.245558	22.193356
Pori	POR	EFPO	61.461686	21.799983
Pudasjarvi	FPU	EFPU	65.402222	26.946944
Pyhasalmi	FPY	EFPY	63.731917	25.926306
Raahe Pattijoki	FRH	EFRH	64.688056	24.695833
Rantasalmi	FRN	EFRN	62.065481	28.356494
Rovaniemi	RVN	EFRO	66.564822	25.830411
Rayskala	FRY	EFRY	60.744722	24.107778
Savonlinna	SVL	EFSA	61.943064	28.945136
Selanpaa	FSE	EFSE	61.062389	26.798861
Sodankyla	SOT	EFSO	67.395033	26.619133
Tampere Pirkkala	TMP	EFTP	61.414147	23.604392
Teisko	FTS	EFTS	61.77335	24.027006
Turku	TKU	EFTU	60.514142	22.262808
Utti	QVY	EFUT	60.896394	26.938353
Vaasa	VAA	EFVA	63.05065	21.762175
Varkaus	VRK	EFVR	62.171111	27.868611
Ylivieska	FYL	EFYL	64.060547	24.715953
Aldergrove	BFS	EGAA	54.6575	-6.215833
St Angelo	ENK	EGAB	54.398889	-7.651667
City	BHD	EGAC	54.618056	-5.8725
Londonderry Eglinton	LDY	EGAE	55.042778	-7.161111
Birmingham	BHX	EGBB	52.453856	-1.748028
Coventry	CVT	EGBE	52.369722	-1.479722
Leicester	GBG	EGBG	52.607778	-1.031944
Gloucestershire	GLO	EGBJ	51.894167	-2.167222
Wolverhampton	GBO	EGBO	52.5175	-2.259444
Kemble	GBP	EGBP	51.668056	-2.056944
Turweston	GBT	EGBT	52.040833	-1.095556
Wellesbourne Mountford	GBW	EGBW	52.192222	-1.614444
Manchester	MAN	EGCC	53.353744	-2.27495
Manchester Woodford	GCD	EGCD	53.338056	-2.148889
Chivenor	GDC	EGDC	51.087167	-4.150339
St Mawgan	NQY	EGDG	50.440558	-4.995408
Lyneham	LYE	EGDL	51.505144	-1.993428
Boscombe Down	GDM	EGDM	51.152189	-1.747414
Culdrose	GDR	EGDR	50.086092	-5.255711
St Athan	GDX	EGDX	51.404811	-3.43575
Yeovilton	YEO	EGDY	51.009358	-2.638819
Haverfordwest	GFE	EGFE	51.833056	-4.961111
Cardiff	CWL	EGFF	51.396667	-3.343333
Swansea	SWS	EGFH	51.605333	-4.067833
Bristol	BRS	EGGD	51.382669	-2.719089
Liverpool	LPL	EGGP	53.333611	-2.849722
Luton	LTN	EGGW	51.874722	-0.368333
Plymouth	PLH	EGHD	50.422778	-4.105833
Bournemouth	BOH	EGHH	50.78	-1.8425
Southampton	SOU	EGHI	50.950261	-1.356803
Lasham	QLA	EGHL	51.187167	-1.0335
Alderney	ACI	EGJA	49.706111	-2.214722
Guernsey	GCI	EGJB	49.434956	-2.601969
Jersey	JER	EGJJ	49.207947	-2.195508
Shoreham	ESH	EGKA	50.835556	-0.297222
Biggin Hill	BQH	EGKB	51.330833	0.0325
Gatwick	LGW	EGKK	51.148056	-0.190278
City	LCY	EGLC	51.505278	0.055278
Farnborough	FAB	EGLF	51.275833	-0.776333
Chalgrove	GLJ	EGLJ	51.676111	-1.080833
Blackbushe	BBS	EGLK	51.323889	-0.8475
Heathrow	LHR	EGLL	51.4775	-0.461389
Southend	SEN	EGMC	51.571389	0.695556
Lydd	LYX	EGMD	50.956111	0.939167
Manston	MSE	EGMH	51.342222	1.346111
Brough	GNB	EGNB	53.719667	-0.566333
Carlisle	CAX	EGNC	54.9375	-2.809167
Gamston	GNE	EGNE	53.280556	-0.951389
Blackpool	BLK	EGNH	53.771667	-3.028611
Humberside	HUY	EGNJ	53.574444	-0.350833
Walney Island	BWF	EGNL	54.131167	-3.263667
Leeds Bradford	LBA	EGNM	53.865897	-1.660569
Warton	GNO	EGNO	53.745097	-2.883061
Hawarden	CEG	EGNR	53.178056	-2.977778
Isle Of Man	IOM	EGNS	54.083333	-4.623889
Newcastle	NCL	EGNT	55.0375	-1.691667
Durham Tees Valley Airport	MME	EGNV	54.509189	-1.429406
